AUM,EXPENSE_RATIO,FUND,ISSUER,RETURN_10YR,RETURN_1YR,RETURN_3YR,RETURN_5YR,SEGMENT,TICKER
233561527684.75,9.45,SPDR S&P 500 ETF Trust,['State Street Global Advisors'],0.072027,0.255848,0.109659,0.139418,Equity: U.S. - Large Cap,SPY
97461800030.0,4.0,iShares Core S&P 500 ETF,['BlackRock'],0.072385,0.257006,0.110169,0.140126,Equity: U.S. - Large Cap,IVV
75531802358.88,5.0,Vanguard Total Stock Market Index Fund,['Vanguard'],0.077025,0.274169,0.103214,0.138067,Equity: U.S. - Total Market,VTI
62890535823.7,5.0,Vanguard S&P 500 Index Fund,['Vanguard'],,0.257474,0.110336,0.140339,Equity: U.S. - Large Cap,VOO
45248510400.0,20.0,PowerShares QQQ Trust,['Invesco PowerShares'],0.121251,0.294176,0.144351,0.167555,Equity: U.S. - Large Cap,QQQ
42135720510.0,5.0,iShares Core U.S. Aggregate Bond ETF,['BlackRock'],0.041473,0.012044,0.026722,0.021348,Fixed Income: U.S. - Broad Market Investment Grade ,AGG
39115221820.0,7.0,iShares Core S&P Mid-Cap ETF,['BlackRock'],0.087048,0.343992,0.101346,0.136531,Equity: U.S. - Mid Cap,IJH
37750682450.0,20.0,iShares Russell 2000 ETF,['BlackRock'],0.069189,0.40011,0.077747,0.126188,Equity: U.S. - Small Cap,IWM
36902570700.0,20.0,iShares Russell 1000 Value ETF,['BlackRock'],0.057548,0.299049,0.101457,0.138106,Equity: U.S. - Large Cap Value,IWD
33543121360.0,20.0,iShares Russell 1000 Growth ETF,['BlackRock'],0.084923,0.22786,0.10713,0.136453,Equity: U.S. - Large Cap Growth,IWF
32118531997.64,6.0,Vanguard Total Bond Market Index Fund,['Vanguard'],,0.015565,0.02714,0.021825,Fixed Income: U.S.  - Broad Market Investment Grade ,BND
30158680050.0,15.0,iShares iBoxx $ Investment Grade Corporate Bond ETF,['BlackRock'],0.05416,0.068899,0.039511,0.038631,Fixed Income: U.S.  -  Corporate Investment Grade,LQD
